DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RXO,RMED
517.40527344,,21.797000885,0.0450000018,,1.993999958,1.692999959,59.413253784,159.37785339,48581152.0,1.4840131998,26.536249161,1.271057725,,1.271057725
517.55767822,,21.25,0.0540000014,,1.993999958,1.6829999685,60.285694122,159.38197327,48580816.0,1.4950032234,25.911399841,1.2830816507,,1.2830816507
517.71008301,,20.733999252,0.0579999983,,1.993999958,1.7910000086,58.560199738,159.37782288,48580484.0,1.4970031977,25.538402557,1.3000816107,,1.3000816107
517.86248779,,20.047000885,0.0689999983,,1.993999958,2.006000042,57.365089417,159.37785339,48580148.0,1.4990079403,26.4088974,1.3170528412,,1.3170528412
518.01489258,,19.733999252,0.0529999994,,1.993999958,2.1700000763,58.625217438,159.38197327,48579812.0,1.5040335655,24.475700378,1.3279519081,,1.3279519081
518.16729736,,19.577999115,0.0350000001,,1.993999958,2.1640000343,58.461616516,159.37782288,48579480.0,1.5250368118,24.915205002,1.3178942204,,1.3178942204
518.31970215,,19.718999863,0.0049999999,,1.993999958,1.8630000353,58.17370224,159.37782288,48579144.0,1.5480271578,26.912000656,1.2959326506,,1.2959326506
518.47210693,,20.141000748,0.0070000002,,1.993999958,1.8150000572,57.915988922,159.37782288,48578808.0,1.5650272369,26.912200928,1.2820467949,,1.2820467949
518.62451172,,20.406000137,0.0260000005,,1.993999958,1.7070000172,60.017707825,159.37782288,48578472.0,1.5820159912,27.03619957,1.2911822796,,1.2911822796
518.7769165,,19.577999115,0.0540000014,,1.993999958,1.7740000486,60.355880737,159.37782288,48578104.0,1.5920096636,26.537801743,1.3262447119,,1.3262447119
518.92926025,,19.827999115,0.063000001,,1.993999958,1.7029999495,62.633804321,159.37782288,48577772.0,1.5980085135,27.03730011,1.3731490374,,1.3731490374
519.08166504,,19.577999115,0.0670000017,,1.993999958,1.8259999752,64.253707886,159.37782288,48577436.0,1.6050120592,27.286399841,1.4040433168,,1.4040433168
519.23406982,,19.233999252,0.0500000007,,1.993999958,1.9739999771,65.015960693,159.37782288,48577100.0,1.6150144339,26.78745079,1.412971139,,1.412971139
519.38647461,,19.108999252,0.0219999999,,1.993999958,2.1089999676,63.745471954,159.37785339,48576768.0,1.6270120144,27.162752151,1.40693748,,1.40693748
519.53887939,,19.062999725,0.0060000001,,1.993999958,2.257999897,59.689849854,159.38197327,48576432.0,1.6370011568,27.788352966,1.3939135075,,1.3939135075
519.69128418,,19.062999725,0.003,,1.993999958,2.25,57.170097351,159.37782288,48576096.0,1.6379903555,28.912902832,1.3759423494,,1.3759423494
519.84368896,,19.0,0.003,,1.9940035343,2.2869999409,56.360687256,159.37785339,48575756.0,1.6319791079,29.472396851,1.3639758825,,1.3639758825
519.99609375,,19.202999115,0.0020000001,,1.9946721792,2.1800000668,56.106765747,159.38197327,48575424.0,1.6189935207,27.850000381,1.3589903116,,1.3589903116
520.14849854,,19.452999115,0.0040000002,,2.006434679,2.0759999752,59.80361557,159.37782288,48575088.0,1.6149903536,27.849498749,1.3570047617,,1.3570047617
